SGID	FeatureType	FeatureQualifier	FeatureName	common_name	parent_name	SGID2	chr	start	end
S000002143	ORF	Dubious	YAL069W		chromosome 1		1	335	649
S000031098	CDS				YAL069W		1	335	649
S000028594	ORF	Dubious	YAL068W-A		chromosome 1		1	538	792
S000031372	CDS				YAL068W-A		1	538	792
S000121252	ARS		ARS102		chromosome 1		1	707	776
S000028862	telomere		TEL01L		chromosome 1		1	801	1
S000028864	telomeric_repeat				TEL01L		1	62	1
S000028865	X_element				TEL01L		1	801	337
S000028866	X_element_combinatorial_repeat				TEL01L		1	336	63
S000002142	ORF	Verified	YAL068C	PAU8	chromosome 1		1	2169	1807
S000030944	CDS				YAL068C		1	2169	1807
S000028593	ORF	Uncharacterized	YAL067W-A		chromosome 1		1	2480	2707
S000031368	CDS				YAL067W-A		1	2480	2707
S000121253	ARS		ARS103		chromosome 1		1	7997	8547
S000000062	ORF	Verified	YAL067C	SEO1	chromosome 1	L000003363	1	9016	7235
S000029932	CDS				YAL067C		1	9016	7235
S000000061	ORF	Dubious	YAL066W		chromosome 1		1	10091	10399
S000029887	CDS				YAL066W		1	10091	10399
S000001817	ORF	Uncharacterized	YAL065C		chromosome 1		1	11951	11565
S000037154	CDS				YAL065C		1	11951	11565
S000002141	ORF	Uncharacterized	YAL064W-B		chromosome 1		1	12046	12426
S000034793	CDS				YAL064W-B		1	12046	12426
S000002140	ORF	Uncharacterized	YAL064C-A	TDA8	chromosome 1		1	13743	13363
S000031541	CDS				YAL064C-A		1	13743	13363
S000000060	ORF	Verified	YAL064W		chromosome 1		1	21566	21850
S000037087	CDS				YAL064W		1	21566	21850
S000006787	long_terminal_repeat		YALWdelta1		chromosome 1		1	22230	22552
S000028813	ORF	Uncharacterized	YAL063C-A		chromosome 1		1	22685	22395
S000033613	CDS				YAL063C-A		1	22685	22395
S000000059	ORF	Verified	YAL063C	FLO9	chromosome 1	L000003331	1	27968	24000
S000036982	CDS				YAL063C		1	27968	24000
S000118317	ARS		ARS104		chromosome 1		1	30946	31183
S000178034	ARS_consensus_sequence				ARS104		1	31002	31018
S000000058	ORF	Verified	YAL062W	GDH3	chromosome 1	L000000698	1	31567	32940
S000036963	CDS				YAL062W		1	31567	32940
S000000057	ORF	Uncharacterized	YAL061W	BDH2	chromosome 1		1	33448	34701
S000036902	CDS				YAL061W		1	33448	34701
S000000056	ORF	Verified	YAL060W	BDH1	chromosome 1		1	35155	36303
S000036089	CDS				YAL060W		1	35155	36303
S000000055	ORF	Verified	YAL059W	ECM1	chromosome 1	L000003052	1	36509	37147
S000035122	CDS				YAL059W		1	36509	37147
S000028734	ORF	Dubious	YAL059C-A		chromosome 1		1	36918	36496
S000033378	CDS				YAL059C-A		1	36918	36496
S000000054	ORF	Verified	YAL058W	CNE1	chromosome 1	L000000373	1	37464	38972
S000034933	CDS				YAL058W		1	37464	38972
S000002139	ORF	Dubious	YAL056C-A		chromosome 1		1	39046	38696
S000035879	CDS				YAL056C-A		1	39046	38696
S000000052	ORF	Verified	YAL056W	GPB2	chromosome 1		1	39259	41901
S000033885	CDS				YAL056W		1	39259	41901
S000121254	ARS		ARS105		chromosome 1		1	41992	42151
S000000051	ORF	Verified	YAL055W	PEX22	chromosome 1		1	42177	42719
S000033812	CDS				YAL055W		1	42177	42719
S000000050	ORF	Verified	YAL054C	ACS1	chromosome 1	L000000024	1	45022	42881
S000033073	CDS				YAL054C		1	45022	42881
S000000049	ORF	Verified	YAL053W	FLC2	chromosome 1		1	45899	48250
S000033037	CDS				YAL053W		1	45899	48250
S000000048	ORF	Verified	YAL051W	OAF1	chromosome 1	L000004197	1	48564	51707
S000032862	CDS				YAL051W		1	48564	51707
S000000047	ORF	Verified	YAL049C	AIM2	chromosome 1		1	52595	51855
S000031896	CDS				YAL049C		1	52595	51855
S000028733	ORF	Dubious	YAL047W-A		chromosome 1		1	54584	54913
S000033377	CDS				YAL047W-A		1	54584	54913
S000000046	ORF	Verified	YAL048C	GEM1	chromosome 1		1	54789	52801
S000030895	CDS				YAL048C		1	54789	52801
S000000045	ORF	Verified	YAL047C	SPC72	chromosome 1	L000003455	1	56857	54989
S000030803	CDS				YAL047C		1	56857	54989
S000000044	ORF	Verified	YAL046C	BOL3	chromosome 1		1	57385	57029
S000030666	CDS				YAL046C		1	57385	57029
S000007586	ORF	Verified	YAL044W-A	BOL1	chromosome 1		1	57518	57850
S000037097	CDS				YAL044W-A		1	57518	57850
